transaction_id,date,customer_id,product,price,quantity,coupon_code,shipping_city,discount_percent,free_shipping,days_since_purchase,revenue
T0100,2025-02-18,C0205,Keyboard,57.74,3,WELCOME15,San Jose,15,False,316,147.237
T0132,2025-02-18,C0139,Desk Lamp,39.9,2,,Houston,0,False,316,79.8
T0140,2025-02-18,C0022,Laptop Stand,39.9,3,,Portland,0,False,316,119.69999999999999
T0047,2025-02-19,C0239,Yoga Mat,36.23,2,,Los Angeles,0,False,315,72.46
T0120,2025-02-19,C0089,Yoga Mat,37.95,1,SAVE10,Chicago,10,False,315,34.155
T0050,2025-02-21,C0200,T-Shirt,20.9,2,,Miami,0,False,313,41.8
T0060,2025-02-21,C0115,Keyboard,52.24,2,,Miami,0,False,313,104.48
T0172,2025-02-21,C0200,Headphones,79.99,2,,Denver,0,False,313,159.98
T0545,2025-02-21,C0135,Coffee Mug,13.95,2,,Charlotte,0,False,313,27.9
T0562,2025-02-21,C0044,Desk Lamp,38.0,1,SAVE10,Seattle,10,False,313,34.2
T0336,2025-02-22,C0051,USB-C Cable,11.88,4,,Atlanta,0,False,312,47.52
T0559,2025-02-22,C0035,Phone Case,17.49,1,,Phoenix,0,False,312,17.49
T0419,2025-02-24,C0006,Sunglasses,36.75,1,,Chicago,0,False,310,36.75
T0233,2025-02-26,C0027,Backpack,64.9,1,,San Antonio,0,False,308,64.9
T0124,2025-03-01,C0001,Laptop Stand,39.9,1,WELCOME15,San Jose,15,False,305,33.915
T0284,2025-03-01,C0085,Phone Case,17.49,1,SAVE10,San Antonio,10,False,305,15.741
T0374,2025-03-02,C0011,Water Bottle,21.99,1,,Seattle,0,False,304,21.99
T0384,2025-03-03,C0116,Water Bottle,21.99,1,,Nashville,0,False,303,21.99
T0576,2025-03-03,C0059,T-Shirt,24.2,3,,Houston,0,False,303,72.6
T0136,2025-03-04,C0142,Water Bottle,18.99,1,,San Antonio,0,False,302,18.99
T0291,2025-03-04,C0040,Notebook Set,15.0,1,,Philadelphia,0,False,302,15.0
T0190,2025-03-05,C0170,Travel Organizer,27.5,1,FREESHIP,New York,0,True,301,27.5
T0147,2025-03-06,C0045,USB-C Cable,13.12,1,,Phoenix,0,False,300,13.12
T0446,2025-03-06,C0053,Water Bottle,19.99,2,SAVE10,Chicago,10,False,300,35.982
T0523,2025-03-06,C0169,Running Shoes,93.45,2,,Minneapolis,0,False,300,186.9
T0395,2025-03-07,C0188,Portable Charger,42.75,3,,Miami,0,False,299,128.25
T0454,2025-03-08,C0129,Phone Case,16.62,1,,Atlanta,0,False,298,16.62
T0595,2025-03-08,C0069,Bluetooth Speaker,47.45,1,,Miami,0,False,298,47.45
T0553,2025-03-09,C0038,Backpack,59.0,1,,Atlanta,0,False,297,59.0
T0062,2025-03-11,C0225,Water Bottle,20.99,2,,Nashville,0,False,295,41.98
T0369,2025-03-11,C0131,Travel Organizer,30.25,2,FREESHIP,Portland,0,True,295,60.5
T0087,2025-03-12,C0129,Water Bottle,20.99,1,,Charlotte,0,False,294,20.99
T0283,2025-03-13,C0010,Laptop Stand,42.0,1,SAVE10,Denver,10,False,293,37.800000000000004
T0408,2025-03-13,C0185,Yoga Mat,34.5,1,SAVE10,Boston,10,False,293,31.05
T0018,2025-03-14,C0198,Desk Lamp,38.0,2,,Nashville,0,False,292,76.0
T0029,2025-03-14,C0146,Backpack,64.9,1,,Austin,0,False,292,64.9
T0229,2025-03-14,C0062,Laptop Stand,42.0,2,FREESHIP,San Diego,0,True,292,84.0
T0286,2025-03-14,C0124,Yoga Mat,37.95,2,,Seattle,0,False,292,75.9
T0507,2025-03-14,C0024,T-Shirt,22.0,3,SAVE10,San Jose,10,False,292,59.4
T0074,2025-03-15,C0072,Portable Charger,45.0,1,,San Diego,0,False,291,45.0
T0342,2025-03-15,C0076,Bluetooth Speaker,49.95,2,,Philadelphia,0,False,291,99.9
T0490,2025-03-15,C0103,Desk Lamp,36.1,1,,Houston,0,False,291,36.1
T0556,2025-03-16,C0156,Coffee Mug,15.35,1,WELCOME15,Seattle,15,False,290,13.0475
T0259,2025-03-17,C0070,Notebook Set,15.0,1,,Minneapolis,0,False,289,15.0
T0056,2025-03-19,C0130,Coffee Mug,13.25,1,,Atlanta,0,False,287,13.25
T0481,2025-03-19,C0026,Notebook Set,15.0,3,,Seattle,0,False,287,45.0
T0161,2025-03-20,C0125,Portable Charger,45.0,1,,Charlotte,0,False,286,45.0
T0455,2025-03-20,C0162,USB-C Cable,12.5,3,,San Antonio,0,False,286,37.5
T0306,2025-03-21,C0001,Headphones,83.99,2,,Chicago,0,False,285,167.98
T0010,2025-03-22,C0021,Portable Charger,45.0,2,SAVE10,Charlotte,10,False,284,81.0
T0066,2025-03-23,C0044,Laptop Stand,42.0,2,,Philadelphia,0,False,283,84.0
T0078,2025-03-23,C0116,Keyboard,54.99,2,SUMMER20,New York,20,False,283,87.98400000000001
T0211,2025-03-23,C0108,Phone Case,17.49,1,,New York,0,False,283,17.49
T0371,2025-03-23,C0063,Headphones,79.99,2,,San Jose,0,False,283,159.98
T0200,2025-03-24,C0219,Headphones,79.99,1,,Austin,0,False,282,79.99
T0262,2025-03-24,C0186,Backpack,61.95,1,,Miami,0,False,282,61.95
T0521,2025-03-24,C0214,Phone Case,17.49,1,SAVE10,Minneapolis,10,False,282,15.741
T0356,2025-03-25,C0186,Portable Charger,45.0,1,,Miami,0,False,281,45.0
T0505,2025-03-25,C0209,Bluetooth Speaker,47.45,1,,Portland,0,False,281,47.45
T0524,2025-03-25,C0098,Water Bottle,20.99,1,,Austin,0,False,281,20.99
T0585,2025-03-26,C0017,Coffee Mug,13.95,1,,Phoenix,0,False,280,13.95
T0085,2025-03-27,C0069,Keyboard,54.99,4,SAVE10,Nashville,10,False,279,197.964
T0244,2025-03-27,C0190,T-Shirt,20.9,1,,Minneapolis,0,False,279,20.9
T0552,2025-03-28,C0065,Portable Charger,45.0,3,,Seattle,0,False,278,135.0
T0538,2025-03-29,C0021,Running Shoes,89.0,1,,San Jose,0,False,277,89.0
T0462,2025-03-30,C0187,Yoga Mat,32.77,1,,Miami,0,False,276,32.77
T0337,2025-03-31,C0013,Backpack,64.9,1,,Denver,0,False,275,64.9
T0396,2025-04-01,C0143,Sunglasses,38.5,1,WELCOME15,Minneapolis,15,False,274,32.725
T0425,2025-04-02,C0011,T-Shirt,22.0,1,FREESHIP,Los Angeles,0,True,273,22.0
T0513,2025-04-02,C0043,Travel Organizer,27.5,1,WELCOME15,Portland,15,False,273,23.375
T0398,2025-04-03,C0020,Running Shoes,89.0,1,,Philadelphia,0,False,272,89.0
T0280,2025-04-04,C0138,Headphones,79.99,1,WELCOME15,San Diego,15,False,271,67.99149999999999
T0519,2025-04-04,C0053,Desk Lamp,38.0,1,SAVE10,Charlotte,10,False,271,34.2
T0354,2025-04-05,C0176,USB-C Cable,12.5,2,,Chicago,0,False,270,25.0
T0247,2025-04-06,C0122,Headphones,79.99,2,,San Jose,0,False,269,159.98
T0289,2025-04-07,C0228,Sunglasses,35.0,1,SAVE10,Los Angeles,10,False,268,31.5
T0495,2025-04-07,C0087,Yoga Mat,34.5,1,,Miami,0,False,268,34.5
T0121,2025-04-08,C0101,Desk Lamp,38.0,1,,Minneapolis,0,False,267,38.0
T0332,2025-04-09,C0174,Yoga Mat,34.5,2,,Philadelphia,0,False,266,69.0
T0039,2025-04-12,C0078,Travel Organizer,27.5,3,,Seattle,0,False,263,82.5
T0208,2025-04-12,C0027,Running Shoes,84.55,3,,San Antonio,0,False,263,253.64999999999998
T0258,2025-04-13,C0196,Keyboard,54.99,1,,Denver,0,False,262,54.99
T0279,2025-04-14,C0055,Laptop Stand,46.2,1,,Seattle,0,False,261,46.2
T0516,2025-04-14,C0200,Coffee Mug,13.95,1,,Portland,0,False,261,13.95
T0370,2025-04-15,C0173,Travel Organizer,27.5,1,,Nashville,0,False,260,27.5
T0590,2025-04-15,C0003,Travel Organizer,27.5,2,,Phoenix,0,False,260,55.0
T0335,2025-04-16,C0061,Sunglasses,35.0,2,,Chicago,0,False,259,70.0
T0035,2025-04-17,C0046,Coffee Mug,13.95,1,,San Antonio,0,False,258,13.95
T0218,2025-04-17,C0133,Travel Organizer,27.5,1,,Houston,0,False,258,27.5
T0561,2025-04-18,C0142,Coffee Mug,13.95,2,SAVE10,Denver,10,False,257,25.11
T0594,2025-04-18,C0070,T-Shirt,20.9,1,,Miami,0,False,257,20.9
T0016,2025-04-19,C0122,Coffee Mug,14.65,1,,Seattle,0,False,256,14.65
T0043,2025-04-21,C0207,Sunglasses,38.5,3,,Chicago,0,False,254,115.5
T0301,2025-04-21,C0033,USB-C Cable,11.88,1,,Denver,0,False,254,11.88
T0386,2025-04-21,C0074,USB-C Cable,12.5,1,SUMMER20,Atlanta,20,False,254,10.0
T0421,2025-04-21,C0011,Phone Case,17.49,4,,Seattle,0,False,254,69.96
T0469,2025-04-21,C0236,Portable Charger,47.25,1,,Phoenix,0,False,254,47.25
T0077,2025-04-22,C0137,Wireless Mouse,26.24,1,,New York,0,False,253,26.24
T0363,2025-04-22,C0119,Wireless Mouse,24.99,5,WELCOME15,Los Angeles,15,False,253,106.20749999999998
T0426,2025-04-22,C0106,Coffee Mug,13.95,2,WELCOME15,Charlotte,15,False,253,23.715
T0482,2025-04-22,C0035,Laptop Stand,39.9,1,WELCOME15,San Diego,15,False,253,33.915
T0571,2025-04-22,C0013,Desk Lamp,38.0,1,,Austin,0,False,253,38.0
T0204,2025-04-23,C0070,Wireless Mouse,24.99,3,,San Diego,0,False,252,74.97
T0574,2025-04-23,C0219,T-Shirt,22.0,3,,Seattle,0,False,252,66.0
T0238,2025-04-24,C0074,Travel Organizer,30.25,1,,San Jose,0,False,251,30.25
T0004,2025-04-26,C0008,Headphones,87.99,2,,New York,0,False,249,175.98
T0154,2025-04-26,C0075,Water Bottle,19.99,2,FREESHIP,Minneapolis,0,True,249,39.98
T0248,2025-04-26,C0153,Portable Charger,47.25,1,SUMMER20,San Jose,20,False,249,37.800000000000004
T0440,2025-04-26,C0094,Keyboard,52.24,1,SUMMER20,Miami,20,False,249,41.792
T0484,2025-04-26,C0209,Wireless Mouse,24.99,4,,Charlotte,0,False,249,99.96
T0021,2025-04-27,C0040,Backpack,64.9,1,SAVE10,Nashville,10,False,248,58.410000000000004
T0194,2025-04-27,C0202,USB-C Cable,13.75,2,,Portland,0,False,248,27.5
T0445,2025-04-27,C0137,Notebook Set,16.5,1,,Atlanta,0,False,248,16.5
T0514,2025-04-28,C0175,Desk Lamp,38.0,3,,San Antonio,0,False,247,114.0
T0086,2025-04-29,C0218,Running Shoes,93.45,2,SUMMER20,Philadelphia,20,False,246,149.52
T0319,2025-04-29,C0203,Water Bottle,20.99,2,SAVE10,New York,10,False,246,37.782
T0048,2025-04-30,C0114,Keyboard,54.99,2,,San Diego,0,False,245,109.98
T0273,2025-04-30,C0157,Keyboard,54.99,1,,Philadelphia,0,False,245,54.99
T0022,2025-05-01,C0126,Travel Organizer,27.5,4,,Houston,0,False,244,110.0
T0025,2025-05-01,C0023,Notebook Set,14.25,1,WELCOME15,Boston,15,False,244,12.112499999999999
T0037,2025-05-01,C0062,USB-C Cable,13.75,1,SAVE10,Los Angeles,10,False,244,12.375
T0533,2025-05-02,C0006,Backpack,61.95,1,,Dallas,0,False,243,61.95
T0344,2025-05-04,C0034,Travel Organizer,27.5,1,SAVE10,Dallas,10,False,241,24.75
T0560,2025-05-05,C0059,Wireless Mouse,24.99,2,,Seattle,0,False,240,49.98
T0089,2025-05-06,C0194,Backpack,64.9,2,,Dallas,0,False,239,129.8
T0001,2025-05-07,C0075,Yoga Mat,34.5,2,,Miami,0,False,238,69.0
T0027,2025-05-08,C0079,Bluetooth Speaker,49.95,1,,Austin,0,False,237,49.95
T0409,2025-05-08,C0025,Running Shoes,97.9,2,,Denver,0,False,237,195.8
T0543,2025-05-08,C0060,Notebook Set,15.0,1,SAVE10,Nashville,10,False,237,13.5
T0011,2025-05-09,C0083,T-Shirt,24.2,1,,San Jose,0,False,236,24.2
T0115,2025-05-09,C0227,Notebook Set,15.0,3,SAVE10,San Antonio,10,False,236,40.5
T0142,2025-05-10,C0222,Bluetooth Speaker,47.45,1,,Minneapolis,0,False,235,47.45
T0149,2025-05-10,C0234,Wireless Mouse,24.99,2,,Seattle,0,False,235,49.98
T0324,2025-05-10,C0151,USB-C Cable,13.75,2,,San Diego,0,False,235,27.5
T0461,2025-05-10,C0042,Yoga Mat,34.5,1,,Philadelphia,0,False,235,34.5
T0271,2025-05-11,C0136,Laptop Stand,39.9,1,,Chicago,0,False,234,39.9
T0315,2025-05-11,C0079,USB-C Cable,12.5,3,,Philadelphia,0,False,234,37.5
T0144,2025-05-12,C0175,Bluetooth Speaker,49.95,2,SAVE10,San Jose,10,False,233,89.91000000000001
T0572,2025-05-12,C0010,Running Shoes,89.0,3,,Austin,0,False,233,267.0
T0065,2025-05-13,C0071,Water Bottle,20.99,3,,Portland,0,False,232,62.97
T0198,2025-05-13,C0154,Portable Charger,45.0,1,,Portland,0,False,232,45.0
T0598,2025-05-13,C0068,Notebook Set,14.25,2,,Miami,0,False,232,28.5
T0165,2025-05-14,C0152,Portable Charger,45.0,3,,Denver,0,False,231,135.0
T0216,2025-05-15,C0041,Phone Case,16.62,1,WELCOME15,Chicago,15,False,230,14.127
T0512,2025-05-15,C0212,Coffee Mug,13.95,2,,Houston,0,False,230,27.9
T0540,2025-05-15,C0219,Travel Organizer,27.5,4,WELCOME15,Dallas,15,False,230,93.5
T0207,2025-05-16,C0112,Travel Organizer,27.5,3,,Minneapolis,0,False,229,82.5
T0392,2025-05-16,C0150,Running Shoes,89.0,1,,San Antonio,0,False,229,89.0
T0127,2025-05-17,C0067,Travel Organizer,30.25,1,,New York,0,False,228,30.25
T0525,2025-05-17,C0022,Yoga Mat,34.5,3,,Los Angeles,0,False,228,103.5
T0321,2025-05-19,C0067,Bluetooth Speaker,49.95,1,SAVE10,Atlanta,10,False,226,44.955000000000005
T0234,2025-05-21,C0021,Travel Organizer,26.12,2,SAVE10,San Jose,10,False,224,47.016000000000005
T0487,2025-05-21,C0181,Coffee Mug,15.35,1,,Nashville,0,False,224,15.35
T0439,2025-05-23,C0091,Keyboard,54.99,2,SAVE10,Los Angeles,10,False,222,98.982
T0434,2025-05-24,C0037,Coffee Mug,13.95,1,,Philadelphia,0,False,221,13.95
T0213,2025-05-25,C0218,Portable Charger,47.25,1,,Houston,0,False,220,47.25
T0376,2025-05-25,C0113,Backpack,59.0,5,,Dallas,0,False,220,295.0
T0041,2025-05-26,C0018,Coffee Mug,15.35,3,,Miami,0,False,219,46.05
T0287,2025-05-26,C0094,Notebook Set,16.5,1,,Los Angeles,0,False,219,16.5
T0217,2025-05-27,C0094,Travel Organizer,27.5,2,,Nashville,0,False,218,55.0
T0254,2025-05-27,C0068,Bluetooth Speaker,49.95,1,FREESHIP,New York,0,True,218,49.95
T0355,2025-05-27,C0208,Headphones,79.99,1,,Denver,0,False,218,79.99
T0387,2025-05-27,C0056,Running Shoes,89.0,1,,Boston,0,False,218,89.0
T0504,2025-05-27,C0219,Desk Lamp,38.0,3,,Boston,0,False,218,114.0
T0443,2025-05-28,C0079,Travel Organizer,26.12,1,FREESHIP,New York,0,True,217,26.12
T0489,2025-05-28,C0008,Yoga Mat,32.77,1,SAVE10,Boston,10,False,217,29.493000000000002
T0045,2025-05-29,C0130,Phone Case,19.24,1,,San Antonio,0,False,216,19.24
T0300,2025-05-29,C0029,Headphones,79.99,2,,Portland,0,False,216,159.98
T0458,2025-05-29,C0099,Running Shoes,89.0,2,SAVE10,New York,10,False,216,160.20000000000002
T0311,2025-05-30,C0143,Portable Charger,45.0,1,,Miami,0,False,215,45.0
T0431,2025-05-30,C0099,Yoga Mat,34.5,3,,Houston,0,False,215,103.5
T0444,2025-05-31,C0145,T-Shirt,22.0,1,,Boston,0,False,214,22.0
T0494,2025-05-31,C0185,Wireless Mouse,24.99,1,,Seattle,0,False,214,24.99
T0403,2025-06-03,C0209,Water Bottle,19.99,1,,Philadelphia,0,False,211,19.99
T0503,2025-06-04,C0148,Travel Organizer,30.25,2,SUMMER20,Miami,20,False,210,48.400000000000006
T0582,2025-06-04,C0060,Laptop Stand,42.0,1,,Atlanta,0,False,210,42.0
T0024,2025-06-05,C0056,Wireless Mouse,24.99,1,SAVE10,Austin,10,False,209,22.491
T0123,2025-06-05,C0078,Desk Lamp,36.1,1,,Phoenix,0,False,209,36.1
T0159,2025-06-05,C0017,Water Bottle,19.99,2,,Atlanta,0,False,209,39.98
T0564,2025-06-07,C0220,Travel Organizer,27.5,1,,Portland,0,False,207,27.5
T0102,2025-06-10,C0083,Keyboard,57.74,2,WELCOME15,Chicago,15,False,204,98.158
T0261,2025-06-10,C0007,Desk Lamp,41.8,3,SAVE10,Phoenix,10,False,204,112.86
T0391,2025-06-10,C0052,Yoga Mat,34.5,1,,Austin,0,False,204,34.5
T0202,2025-06-12,C0137,Backpack,64.9,2,,Seattle,0,False,202,129.8
T0067,2025-06-13,C0026,T-Shirt,22.0,1,,Los Angeles,0,False,201,22.0
T0191,2025-06-13,C0095,Notebook Set,15.0,2,,Atlanta,0,False,201,30.0
T0196,2025-06-13,C0198,Notebook Set,15.0,1,,Boston,0,False,201,15.0
T0201,2025-06-13,C0216,Coffee Mug,13.95,1,,Los Angeles,0,False,201,13.95
T0467,2025-06-13,C0184,Desk Lamp,39.9,5,FREESHIP,Austin,0,True,201,199.5
T0122,2025-06-14,C0137,Laptop Stand,46.2,3,SAVE10,San Diego,10,False,200,124.74000000000002
T0128,2025-06-14,C0154,Running Shoes,89.0,1,,Minneapolis,0,False,200,89.0
T0189,2025-06-14,C0173,Notebook Set,16.5,1,WELCOME15,Boston,15,False,200,14.025
T0365,2025-06-14,C0194,USB-C Cable,12.5,5,WELCOME15,Denver,15,False,200,53.125
T0558,2025-06-14,C0050,Sunglasses,36.75,1,SUMMER20,San Jose,20,False,200,29.400000000000002
T0158,2025-06-16,C0057,Bluetooth Speaker,49.95,3,,Dallas,0,False,198,149.85000000000002
T0176,2025-06-16,C0034,Bluetooth Speaker,47.45,3,,Dallas,0,False,198,142.35000000000002
T0347,2025-06-16,C0149,Laptop Stand,44.1,2,SAVE10,Austin,10,False,198,79.38000000000001
T0483,2025-06-16,C0116,Travel Organizer,27.5,1,SAVE10,Austin,10,False,198,24.75
T0522,2025-06-16,C0223,Running Shoes,97.9,2,,Nashville,0,False,198,195.8
T0257,2025-06-18,C0168,Keyboard,60.49,2,,Minneapolis,0,False,196,120.98
T0527,2025-06-19,C0114,Notebook Set,16.5,1,WELCOME15,Houston,15,False,195,14.025
T0593,2025-06-19,C0233,Sunglasses,35.0,1,,Boston,0,False,195,35.0
T0253,2025-06-20,C0130,Backpack,56.05,2,,Portland,0,False,194,112.1
T0589,2025-06-20,C0037,Coffee Mug,14.65,2,,Miami,0,False,194,29.3
T0026,2025-06-21,C0088,Travel Organizer,27.5,2,SAVE10,Phoenix,10,False,193,49.5
T0464,2025-06-22,C0210,Portable Charger,45.0,2,,Los Angeles,0,False,192,90.0
T0509,2025-06-22,C0037,Phone Case,19.24,3,,Philadelphia,0,False,192,57.72
T0546,2025-06-22,C0233,Notebook Set,15.0,1,FREESHIP,Dallas,0,True,192,15.0
T0575,2025-06-22,C0213,Notebook Set,15.0,3,,San Diego,0,False,192,45.0
T0157,2025-06-23,C0063,Wireless Mouse,24.99,1,WELCOME15,Seattle,15,False,191,21.2415
T0292,2025-06-23,C0164,Yoga Mat,32.77,1,,Los Angeles,0,False,191,32.77
T0468,2025-06-23,C0211,Bluetooth Speaker,52.45,2,,Phoenix,0,False,191,104.9
T0569,2025-06-23,C0239,Notebook Set,15.75,2,,Dallas,0,False,191,31.5
T0277,2025-06-24,C0125,Travel Organizer,27.5,1,,Miami,0,False,190,27.5
T0007,2025-06-25,C0201,Sunglasses,38.5,4,SAVE10,Dallas,10,False,189,138.6
T0500,2025-06-25,C0231,Notebook Set,15.0,1,,New York,0,False,189,15.0
T0193,2025-06-26,C0045,Coffee Mug,13.95,1,WELCOME15,Miami,15,False,188,11.8575
T0061,2025-06-28,C0042,Bluetooth Speaker,47.45,1,,Denver,0,False,186,47.45
T0278,2025-06-29,C0085,Coffee Mug,13.95,1,,Charlotte,0,False,185,13.95
T0375,2025-06-29,C0207,Wireless Mouse,24.99,1,,Chicago,0,False,185,24.99
T0250,2025-06-30,C0188,Notebook Set,15.0,1,SAVE10,Dallas,10,False,184,13.5
T0515,2025-07-01,C0092,Coffee Mug,13.95,1,,Nashville,0,False,183,13.95
T0241,2025-07-03,C0055,Running Shoes,84.55,2,SAVE10,Minneapolis,10,False,181,152.19
T0015,2025-07-04,C0104,T-Shirt,22.0,1,,Nashville,0,False,180,22.0
T0019,2025-07-04,C0213,Wireless Mouse,26.24,4,,Houston,0,False,180,104.96
T0076,2025-07-04,C0109,Backpack,64.9,1,,Minneapolis,0,False,180,64.9
