transaction_id,date,customer_id,product,price,quantity,coupon_code,shipping_city
T0296,2025-02-17,C0115,T-Shirt,24.20,1,WELCOME15,Austin
T0577,2025-02-17,C0179,Notebook Set,14.25,2,SAVE10,Dallas
T0100,2025-02-18,C0205,Keyboard,57.74,3,WELCOME15,San Jose
T0132,2025-02-18,C0139,Desk Lamp,39.90,2,,Houston
T0140,2025-02-18,C0022,Laptop Stand,39.90,3,,Portland
T0047,2025-02-19,C0239,Yoga Mat,36.23,2,,Los Angeles
T0120,2025-02-19,C0089,Yoga Mat,37.95,1,SAVE10,Chicago
T0050,2025-02-21,C0200,T-Shirt,20.90,2,,Miami
T0060,2025-02-21,C0115,Keyboard,52.24,2,,Miami
T0172,2025-02-21,C0200,Headphones,79.99,2,,Denver
T0545,2025-02-21,C0135,Coffee Mug,13.95,2,,Charlotte
T0562,2025-02-21,C0044,Desk Lamp,38.00,1,SAVE10,Seattle
T0336,2025-02-22,C0051,USB-C Cable,11.88,4,,Atlanta
T0559,2025-02-22,C0035,Phone Case,17.49,1,,Phoenix
T0419,2025-02-24,C0006,Sunglasses,36.75,1,,Chicago
T0233,2025-02-26,C0027,Backpack,64.90,1,,San Antonio
T0124,2025-03-01,C0001,Laptop Stand,39.90,1,WELCOME15,San Jose
T0284,2025-03-01,C0085,Phone Case,17.49,1,SAVE10,San Antonio
T0374,2025-03-02,C0011,Water Bottle,21.99,1,,Seattle
T0384,2025-03-03,C0116,Water Bottle,21.99,1,,Nashville
T0576,2025-03-03,C0059,T-Shirt,24.20,3,,Houston
T0136,2025-03-04,C0142,Water Bottle,18.99,1,,San Antonio
T0291,2025-03-04,C0040,Notebook Set,15.00,1,,Philadelphia
T0190,2025-03-05,C0170,Travel Organizer,27.50,1,FREESHIP,New York
T0147,2025-03-06,C0045,USB-C Cable,13.12,1,,Phoenix
T0446,2025-03-06,C0053,Water Bottle,19.99,2,SAVE10,Chicago
T0523,2025-03-06,C0169,Running Shoes,93.45,2,,Minneapolis
T0395,2025-03-07,C0188,Portable Charger,42.75,3,,Miami
T0454,2025-03-08,C0129,Phone Case,16.62,1,,Atlanta
T0595,2025-03-08,C0069,Bluetooth Speaker,47.45,1,,Miami
T0553,2025-03-09,C0038,Backpack,59.00,1,,Atlanta
T0062,2025-03-11,C0225,Water Bottle,20.99,2,,Nashville
T0369,2025-03-11,C0131,Travel Organizer,30.25,2,FREESHIP,Portland
T0087,2025-03-12,C0129,Water Bottle,20.99,1,,Charlotte
T0283,2025-03-13,C0010,Laptop Stand,42.00,1,SAVE10,Denver
T0408,2025-03-13,C0185,Yoga Mat,34.50,1,SAVE10,Boston
T0018,2025-03-14,C0198,Desk Lamp,38.00,2,,Nashville
T0029,2025-03-14,C0146,Backpack,64.90,1,,Austin
T0229,2025-03-14,C0062,Laptop Stand,42.00,2,FREESHIP,San Diego
T0286,2025-03-14,C0124,Yoga Mat,37.95,2,,Seattle
T0507,2025-03-14,C0024,T-Shirt,22.00,3,SAVE10,San Jose
T0074,2025-03-15,C0072,Portable Charger,45.00,1,,San Diego
T0342,2025-03-15,C0076,Bluetooth Speaker,49.95,2,,Philadelphia
T0490,2025-03-15,C0103,Desk Lamp,36.10,1,,Houston
T0556,2025-03-16,C0156,Coffee Mug,15.35,1,WELCOME15,Seattle
T0259,2025-03-17,C0070,Notebook Set,15.00,1,,Minneapolis
T0056,2025-03-19,C0130,Coffee Mug,13.25,1,,Atlanta
T0481,2025-03-19,C0026,Notebook Set,15.00,3,,Seattle
T0161,2025-03-20,C0125,Portable Charger,45.00,1,,Charlotte
T0455,2025-03-20,C0162,USB-C Cable,12.50,3,,San Antonio
T0306,2025-03-21,C0001,Headphones,83.99,2,,Chicago
T0010,2025-03-22,C0021,Portable Charger,45.00,2,SAVE10,Charlotte
T0066,2025-03-23,C0044,Laptop Stand,42.00,2,,Philadelphia
T0078,2025-03-23,C0116,Keyboard,54.99,2,SUMMER20,New York
T0211,2025-03-23,C0108,Phone Case,17.49,1,,New York
T0371,2025-03-23,C0063,Headphones,79.99,2,,San Jose
T0200,2025-03-24,C0219,Headphones,79.99,1,,Austin
T0262,2025-03-24,C0186,Backpack,61.95,1,,Miami
T0521,2025-03-24,C0214,Phone Case,17.49,1,SAVE10,Minneapolis
T0356,2025-03-25,C0186,Portable Charger,45.00,1,,Miami
T0505,2025-03-25,C0209,Bluetooth Speaker,47.45,1,,Portland
T0524,2025-03-25,C0098,Water Bottle,20.99,1,,Austin
T0585,2025-03-26,C0017,Coffee Mug,13.95,1,,Phoenix
T0085,2025-03-27,C0069,Keyboard,54.99,4,SAVE10,Nashville
T0244,2025-03-27,C0190,T-Shirt,20.90,1,,Minneapolis
T0552,2025-03-28,C0065,Portable Charger,45.00,3,,Seattle
T0538,2025-03-29,C0021,Running Shoes,89.00,1,,San Jose
T0462,2025-03-30,C0187,Yoga Mat,32.77,1,,Miami
T0337,2025-03-31,C0013,Backpack,64.90,1,,Denver
T0396,2025-04-01,C0143,Sunglasses,38.50,1,WELCOME15,Minneapolis
T0425,2025-04-02,C0011,T-Shirt,22.00,1,FREESHIP,Los Angeles
T0513,2025-04-02,C0043,Travel Organizer,27.50,1,WELCOME15,Portland
T0398,2025-04-03,C0020,Running Shoes,89.00,1,,Philadelphia
T0280,2025-04-04,C0138,Headphones,79.99,1,WELCOME15,San Diego
T0519,2025-04-04,C0053,Desk Lamp,38.00,1,SAVE10,Charlotte
T0354,2025-04-05,C0176,USB-C Cable,12.50,2,,Chicago
T0247,2025-04-06,C0122,Headphones,79.99,2,,San Jose
T0289,2025-04-07,C0228,Sunglasses,35.00,1,SAVE10,Los Angeles
T0495,2025-04-07,C0087,Yoga Mat,34.50,1,,Miami
T0121,2025-04-08,C0101,Desk Lamp,38.00,1,,Minneapolis
T0332,2025-04-09,C0174,Yoga Mat,34.50,2,,Philadelphia
T0039,2025-04-12,C0078,Travel Organizer,27.50,3,,Seattle
T0208,2025-04-12,C0027,Running Shoes,84.55,3,,San Antonio
T0258,2025-04-13,C0196,Keyboard,54.99,1,,Denver
T0279,2025-04-14,C0055,Laptop Stand,46.20,1,,Seattle
T0516,2025-04-14,C0200,Coffee Mug,13.95,1,,Portland
T0370,2025-04-15,C0173,Travel Organizer,27.50,1,,Nashville
T0590,2025-04-15,C0003,Travel Organizer,27.50,2,,Phoenix
T0335,2025-04-16,C0061,Sunglasses,35.00,2,,Chicago
T0035,2025-04-17,C0046,Coffee Mug,13.95,1,,San Antonio
T0218,2025-04-17,C0133,Travel Organizer,27.50,1,,Houston
T0561,2025-04-18,C0142,Coffee Mug,13.95,2,SAVE10,Denver
T0594,2025-04-18,C0070,T-Shirt,20.90,1,,Miami
T0016,2025-04-19,C0122,Coffee Mug,14.65,1,,Seattle
T0043,2025-04-21,C0207,Sunglasses,38.50,3,,Chicago
T0301,2025-04-21,C0033,USB-C Cable,11.88,1,,Denver
T0386,2025-04-21,C0074,USB-C Cable,12.50,1,SUMMER20,Atlanta
T0421,2025-04-21,C0011,Phone Case,17.49,4,,Seattle
T0469,2025-04-21,C0236,Portable Charger,47.25,1,,Phoenix
T0077,2025-04-22,C0137,Wireless Mouse,26.24,1,,New York
T0363,2025-04-22,C0119,Wireless Mouse,24.99,5,WELCOME15,Los Angeles
T0426,2025-04-22,C0106,Coffee Mug,13.95,2,WELCOME15,Charlotte
T0482,2025-04-22,C0035,Laptop Stand,39.90,1,WELCOME15,San Diego
T0571,2025-04-22,C0013,Desk Lamp,38.00,1,,Austin
T0204,2025-04-23,C0070,Wireless Mouse,24.99,3,,San Diego
T0574,2025-04-23,C0219,T-Shirt,22.00,3,,Seattle
T0238,2025-04-24,C0074,Travel Organizer,30.25,1,,San Jose
T0004,2025-04-26,C0008,Headphones,87.99,2,,New York
T0154,2025-04-26,C0075,Water Bottle,19.99,2,FREESHIP,Minneapolis
T0248,2025-04-26,C0153,Portable Charger,47.25,1,SUMMER20,San Jose
T0440,2025-04-26,C0094,Keyboard,52.24,1,SUMMER20,Miami
T0484,2025-04-26,C0209,Wireless Mouse,24.99,4,,Charlotte
T0021,2025-04-27,C0040,Backpack,64.90,1,SAVE10,Nashville
T0194,2025-04-27,C0202,USB-C Cable,13.75,2,,Portland
T0445,2025-04-27,C0137,Notebook Set,16.50,1,,Atlanta
T0514,2025-04-28,C0175,Desk Lamp,38.00,3,,San Antonio
T0086,2025-04-29,C0218,Running Shoes,93.45,2,SUMMER20,Philadelphia
T0319,2025-04-29,C0203,Water Bottle,20.99,2,SAVE10,New York
T0048,2025-04-30,C0114,Keyboard,54.99,2,,San Diego
T0273,2025-04-30,C0157,Keyboard,54.99,1,,Philadelphia
T0022,2025-05-01,C0126,Travel Organizer,27.50,4,,Houston
T0025,2025-05-01,C0023,Notebook Set,14.25,1,WELCOME15,Boston
T0037,2025-05-01,C0062,USB-C Cable,13.75,1,SAVE10,Los Angeles
T0533,2025-05-02,C0006,Backpack,61.95,1,,Dallas
T0344,2025-05-04,C0034,Travel Organizer,27.50,1,SAVE10,Dallas
T0560,2025-05-05,C0059,Wireless Mouse,24.99,2,,Seattle
T0089,2025-05-06,C0194,Backpack,64.90,2,,Dallas
T0001,2025-05-07,C0075,Yoga Mat,34.50,2,,Miami
T0027,2025-05-08,C0079,Bluetooth Speaker,49.95,1,,Austin
T0409,2025-05-08,C0025,Running Shoes,97.90,2,,Denver
T0543,2025-05-08,C0060,Notebook Set,15.00,1,SAVE10,Nashville
T0011,2025-05-09,C0083,T-Shirt,24.20,1,,San Jose
T0115,2025-05-09,C0227,Notebook Set,15.00,3,SAVE10,San Antonio
T0142,2025-05-10,C0222,Bluetooth Speaker,47.45,1,,Minneapolis
T0149,2025-05-10,C0234,Wireless Mouse,24.99,2,,Seattle
T0324,2025-05-10,C0151,USB-C Cable,13.75,2,,San Diego
T0461,2025-05-10,C0042,Yoga Mat,34.50,1,,Philadelphia
T0271,2025-05-11,C0136,Laptop Stand,39.90,1,,Chicago
T0315,2025-05-11,C0079,USB-C Cable,12.50,3,,Philadelphia
T0144,2025-05-12,C0175,Bluetooth Speaker,49.95,2,SAVE10,San Jose
T0572,2025-05-12,C0010,Running Shoes,89.00,3,,Austin
T0065,2025-05-13,C0071,Water Bottle,20.99,3,,Portland
T0198,2025-05-13,C0154,Portable Charger,45.00,1,,Portland
T0598,2025-05-13,C0068,Notebook Set,14.25,2,,Miami
T0165,2025-05-14,C0152,Portable Charger,45.00,3,,Denver
T0216,2025-05-15,C0041,Phone Case,16.62,1,WELCOME15,Chicago
T0512,2025-05-15,C0212,Coffee Mug,13.95,2,,Houston
T0540,2025-05-15,C0219,Travel Organizer,27.50,4,WELCOME15,Dallas
T0207,2025-05-16,C0112,Travel Organizer,27.50,3,,Minneapolis
T0392,2025-05-16,C0150,Running Shoes,89.00,1,,San Antonio
T0127,2025-05-17,C0067,Travel Organizer,30.25,1,,New York
T0525,2025-05-17,C0022,Yoga Mat,34.50,3,,Los Angeles
T0321,2025-05-19,C0067,Bluetooth Speaker,49.95,1,SAVE10,Atlanta
T0234,2025-05-21,C0021,Travel Organizer,26.12,2,SAVE10,San Jose
T0487,2025-05-21,C0181,Coffee Mug,15.35,1,,Nashville
T0439,2025-05-23,C0091,Keyboard,54.99,2,SAVE10,Los Angeles
T0434,2025-05-24,C0037,Coffee Mug,13.95,1,,Philadelphia
T0213,2025-05-25,C0218,Portable Charger,47.25,1,,Houston
T0376,2025-05-25,C0113,Backpack,59.00,5,,Dallas
T0041,2025-05-26,C0018,Coffee Mug,15.35,3,,Miami
T0287,2025-05-26,C0094,Notebook Set,16.50,1,,Los Angeles
T0217,2025-05-27,C0094,Travel Organizer,27.50,2,,Nashville
T0254,2025-05-27,C0068,Bluetooth Speaker,49.95,1,FREESHIP,New York
T0355,2025-05-27,C0208,Headphones,79.99,1,,Denver
T0387,2025-05-27,C0056,Running Shoes,89.00,1,,Boston
T0504,2025-05-27,C0219,Desk Lamp,38.00,3,,Boston
T0443,2025-05-28,C0079,Travel Organizer,26.12,1,FREESHIP,New York
T0489,2025-05-28,C0008,Yoga Mat,32.77,1,SAVE10,Boston
T0045,2025-05-29,C0130,Phone Case,19.24,1,,San Antonio
T0300,2025-05-29,C0029,Headphones,79.99,2,,Portland
T0458,2025-05-29,C0099,Running Shoes,89.00,2,SAVE10,New York
T0311,2025-05-30,C0143,Portable Charger,45.00,1,,Miami
T0431,2025-05-30,C0099,Yoga Mat,34.50,3,,Houston
T0444,2025-05-31,C0145,T-Shirt,22.00,1,,Boston
T0494,2025-05-31,C0185,Wireless Mouse,24.99,1,,Seattle
T0403,2025-06-03,C0209,Water Bottle,19.99,1,,Philadelphia
T0503,2025-06-04,C0148,Travel Organizer,30.25,2,SUMMER20,Miami
T0582,2025-06-04,C0060,Laptop Stand,42.00,1,,Atlanta
T0024,2025-06-05,C0056,Wireless Mouse,24.99,1,SAVE10,Austin
T0123,2025-06-05,C0078,Desk Lamp,36.10,1,,Phoenix
T0159,2025-06-05,C0017,Water Bottle,19.99,2,,Atlanta
T0564,2025-06-07,C0220,Travel Organizer,27.50,1,,Portland
T0102,2025-06-10,C0083,Keyboard,57.74,2,WELCOME15,Chicago
T0261,2025-06-10,C0007,Desk Lamp,41.80,3,SAVE10,Phoenix
T0391,2025-06-10,C0052,Yoga Mat,34.50,1,,Austin
T0202,2025-06-12,C0137,Backpack,64.90,2,,Seattle
T0067,2025-06-13,C0026,T-Shirt,22.00,1,,Los Angeles
T0191,2025-06-13,C0095,Notebook Set,15.00,2,,Atlanta
T0196,2025-06-13,C0198,Notebook Set,15.00,1,,Boston
T0201,2025-06-13,C0216,Coffee Mug,13.95,1,,Los Angeles
T0467,2025-06-13,C0184,Desk Lamp,39.90,5,FREESHIP,Austin
T0122,2025-06-14,C0137,Laptop Stand,46.20,3,SAVE10,San Diego
T0128,2025-06-14,C0154,Running Shoes,89.00,1,,Minneapolis
T0189,2025-06-14,C0173,Notebook Set,16.50,1,WELCOME15,Boston
T0365,2025-06-14,C0194,USB-C Cable,12.50,5,WELCOME15,Denver
T0558,2025-06-14,C0050,Sunglasses,36.75,1,SUMMER20,San Jose
T0158,2025-06-16,C0057,Bluetooth Speaker,49.95,3,,Dallas
T0176,2025-06-16,C0034,Bluetooth Speaker,47.45,3,,Dallas
T0347,2025-06-16,C0149,Laptop Stand,44.10,2,SAVE10,Austin
T0483,2025-06-16,C0116,Travel Organizer,27.50,1,SAVE10,Austin
T0522,2025-06-16,C0223,Running Shoes,97.90,2,,Nashville
T0257,2025-06-18,C0168,Keyboard,60.49,2,,Minneapolis
T0527,2025-06-19,C0114,Notebook Set,16.50,1,WELCOME15,Houston
T0593,2025-06-19,C0233,Sunglasses,35.00,1,,Boston
T0253,2025-06-20,C0130,Backpack,56.05,2,,Portland
T0589,2025-06-20,C0037,Coffee Mug,14.65,2,,Miami
T0026,2025-06-21,C0088,Travel Organizer,27.50,2,SAVE10,Phoenix
T0464,2025-06-22,C0210,Portable Charger,45.00,2,,Los Angeles
T0509,2025-06-22,C0037,Phone Case,19.24,3,,Philadelphia
T0546,2025-06-22,C0233,Notebook Set,15.00,1,FREESHIP,Dallas
T0575,2025-06-22,C0213,Notebook Set,15.00,3,,San Diego
T0157,2025-06-23,C0063,Wireless Mouse,24.99,1,WELCOME15,Seattle
T0292,2025-06-23,C0164,Yoga Mat,32.77,1,,Los Angeles
T0468,2025-06-23,C0211,Bluetooth Speaker,52.45,2,,Phoenix
T0569,2025-06-23,C0239,Notebook Set,15.75,2,,Dallas
T0277,2025-06-24,C0125,Travel Organizer,27.50,1,,Miami
T0007,2025-06-25,C0201,Sunglasses,38.50,4,SAVE10,Dallas
T0500,2025-06-25,C0231,Notebook Set,15.00,1,,New York
T0193,2025-06-26,C0045,Coffee Mug,13.95,1,WELCOME15,Miami
T0061,2025-06-28,C0042,Bluetooth Speaker,47.45,1,,Denver
T0278,2025-06-29,C0085,Coffee Mug,13.95,1,,Charlotte
T0375,2025-06-29,C0207,Wireless Mouse,24.99,1,,Chicago
T0250,2025-06-30,C0188,Notebook Set,15.00,1,SAVE10,Dallas
T0515,2025-07-01,C0092,Coffee Mug,13.95,1,,Nashville
T0241,2025-07-03,C0055,Running Shoes,84.55,2,SAVE10,Minneapolis
T0015,2025-07-04,C0104,T-Shirt,22.00,1,,Nashville
T0019,2025-07-04,C0213,Wireless Mouse,26.24,4,,Houston
T0076,2025-07-04,C0109,Backpack,64.90,1,,Minneapolis
T0183,2025-07-04,C0013,USB-C Cable,12.50,2,SUMMER20,San Antonio
T0091,2025-07-05,C0089,Notebook Set,15.75,1,,Chicago
T0073,2025-07-06,C0045,Sunglasses,35.00,1,,Miami
T0485,2025-07-07,C0109,Keyboard,54.99,3,SAVE10,San Diego
T0548,2025-07-07,C0167,USB-C Cable,11.88,1,,Phoenix
T0457,2025-07-08,C0047,T-Shirt,22.00,1,FREESHIP,Nashville
T0591,2025-07-08,C0054,Backpack,56.05,2,,San Antonio
T0177,2025-07-09,C0138,Coffee Mug,13.95,5,,San Jose
T0138,2025-07-10,C0100,Desk Lamp,38.00,1,,San Jose
T0397,2025-07-10,C0153,Sunglasses,33.25,1,,Seattle
T0266,2025-07-11,C0195,Bluetooth Speaker,49.95,3,FREESHIP,San Jose
T0281,2025-07-11,C0011,Laptop Stand,42.00,4,,Portland
T0340,2025-07-11,C0077,Keyboard,54.99,2,,Denver
T0554,2025-07-11,C0193,Desk Lamp,41.80,3,,Dallas
T0272,2025-07-12,C0137,T-Shirt,20.90,1,,Phoenix
T0307,2025-07-12,C0072,Sunglasses,35.00,1,FREESHIP,Boston
T0082,2025-07-13,C0046,Yoga Mat,36.23,3,,Portland
T0320,2025-07-16,C0054,Notebook Set,15.00,1,,Houston
T0488,2025-07-16,C0124,Wireless Mouse,27.49,2,,San Antonio
T0547,2025-07-17,C0029,Desk Lamp,38.00,3,WELCOME15,Austin
T0031,2025-07-18,C0036,Backpack,59.00,1,SUMMER20,Charlotte
T0323,2025-07-18,C0075,Yoga Mat,34.50,1,WELCOME15,Houston
T0349,2025-07-18,C0022,Phone Case,17.49,1,,Minneapolis
T0219,2025-07-20,C0138,Water Bottle,19.99,2,WELCOME15,Austin
T0231,2025-07-20,C0132,Wireless Mouse,24.99,4,,San Antonio
T0114,2025-07-21,C0173,Desk Lamp,38.00,1,,Miami
T0083,2025-07-22,C0078,Yoga Mat,32.77,2,,Portland
T0160,2025-07-22,C0049,USB-C Cable,12.50,1,,Chicago
T0267,2025-07-22,C0043,Keyboard,54.99,1,,Boston
T0420,2025-07-22,C0132,Coffee Mug,13.25,1,,Charlotte
T0338,2025-07-23,C0033,Bluetooth Speaker,49.95,2,WELCOME15,Philadelphia
T0416,2025-07-23,C0097,Wireless Mouse,24.99,2,,Denver
T0534,2025-07-23,C0035,Phone Case,19.24,1,,New York
T0447,2025-07-24,C0094,Running Shoes,89.00,1,,Chicago
T0511,2025-07-24,C0141,Headphones,79.99,3,,Austin
T0090,2025-07-26,C0159,Coffee Mug,13.95,2,,Charlotte
T0529,2025-07-26,C0096,Notebook Set,15.75,1,,San Antonio
T0023,2025-07-27,C0055,Notebook Set,16.50,1,WELCOME15,Philadelphia
T0245,2025-07-27,C0046,Keyboard,54.99,1,,Portland
T0346,2025-07-27,C0186,Wireless Mouse,24.99,1,FREESHIP,Philadelphia
T0432,2025-07-28,C0172,Travel Organizer,27.50,5,,New York
T0175,2025-07-29,C0010,Notebook Set,15.00,2,SAVE10,Charlotte
T0293,2025-07-29,C0152,Bluetooth Speaker,49.95,2,,Houston
T0195,2025-07-30,C0166,Sunglasses,35.00,1,,Philadelphia
T0318,2025-07-30,C0147,Travel Organizer,30.25,1,,Charlotte
T0536,2025-07-30,C0009,Keyboard,54.99,1,SUMMER20,Miami
T0075,2025-07-31,C0201,Sunglasses,35.00,2,SUMMER20,San Jose
T0097,2025-08-01,C0183,Wireless Mouse,26.24,1,,Portland
T0145,2025-08-03,C0099,Coffee Mug,13.95,2,WELCOME15,Seattle
T0317,2025-08-03,C0118,Phone Case,19.24,2,SAVE10,Philadelphia
T0331,2025-08-03,C0137,Keyboard,52.24,2,SAVE10,Charlotte
T0414,2025-08-07,C0040,Desk Lamp,38.00,3,SAVE10,Austin
T0430,2025-08-07,C0051,Backpack,59.00,2,,New York
T0531,2025-08-07,C0207,Sunglasses,35.00,1,,Minneapolis
T0373,2025-08-08,C0122,Backpack,59.00,3,,Boston
T0532,2025-08-08,C0147,Bluetooth Speaker,49.95,5,,Chicago
T0583,2025-08-08,C0195,Notebook Set,15.00,1,,Austin
T0179,2025-08-09,C0081,Notebook Set,14.25,1,,Portland
T0428,2025-08-09,C0200,Backpack,61.95,1,SAVE10,Atlanta
T0465,2025-08-09,C0026,Wireless Mouse,24.99,1,SAVE10,Philadelphia
T0084,2025-08-10,C0199,Notebook Set,15.00,1,SUMMER20,San Antonio
T0579,2025-08-10,C0081,Laptop Stand,42.00,2,,Austin
T0596,2025-08-11,C0113,Backpack,59.00,1,,San Antonio
T0378,2025-08-13,C0210,Headphones,79.99,1,,Boston
T0406,2025-08-13,C0151,Desk Lamp,38.00,2,,Seattle
T0251,2025-08-14,C0174,Keyboard,54.99,1,SUMMER20,Atlanta
T0364,2025-08-14,C0154,Backpack,64.90,4,FREESHIP,Austin
T0452,2025-08-15,C0117,Coffee Mug,13.95,2,SAVE10,Atlanta
T0098,2025-08-16,C0160,T-Shirt,22.00,1,,Chicago
T0367,2025-08-16,C0151,USB-C Cable,13.75,2,,Charlotte
T0418,2025-08-16,C0123,USB-C Cable,12.50,1,,Boston
T0222,2025-08-17,C0055,Sunglasses,35.00,3,FREESHIP,Philadelphia
T0117,2025-08-18,C0089,USB-C Cable,11.88,1,SUMMER20,Nashville
T0474,2025-08-18,C0199,Phone Case,19.24,2,SAVE10,Los Angeles
T0366,2025-08-19,C0030,Coffee Mug,13.95,1,,Denver
T0587,2025-08-19,C0233,Headphones,75.99,1,,Austin
T0094,2025-08-20,C0103,Travel Organizer,27.50,1,,Atlanta
T0275,2025-08-21,C0003,Laptop Stand,42.00,2,,Boston
T0110,2025-08-22,C0103,Notebook Set,14.25,3,WELCOME15,Boston
T0568,2025-08-23,C0104,Yoga Mat,34.50,2,,Seattle
T0079,2025-08-24,C0053,Sunglasses,33.25,1,,Philadelphia
T0174,2025-08-24,C0240,Water Bottle,18.99,1,,Seattle
T0517,2025-08-24,C0162,Notebook Set,14.25,3,,Portland
